GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
atlas-richie-component-storage-s3,com.richie.component.storage.core.impl,S3StorageEngine,59,794,3,27,18,251,5,24,2,12
atlas-richie-component-storage-s3,com.richie.component.storage.config,S3AutoConfiguration,103,121,7,3,22,37,6,4,1,4
atlas-richie-component-storage-s3,com.richie.component.storage.converter,S3StorageTypeConverter,0,92,0,11,0,15,0,13,0,3
atlas-richie-component-storage-s3,com.richie.component.storage.converter,S3AclTypeConverter,0,59,0,7,0,11,0,9,0,3
