GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
atlas-richie-component-storage-ftp,com.richie.component.storage.pool,FtpClientPool.FtpClientFactory,9,132,1,9,3,31,1,9,0,5
atlas-richie-component-storage-ftp,com.richie.component.storage.pool,FtpClientPool,0,50,0,0,0,13,0,2,0,2
