GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
atlas-richie-component-storage-cos,com.richie.component.storage.converter,CosStorageTypeConverter,0,100,0,11,0,15,0,13,0,3
atlas-richie-component-storage-cos,com.richie.component.storage.converter,CosAclTypeConverter,0,53,0,4,0,8,0,6,0,3
