GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
atlas-richie-component-storage-core,com.richie.component.storage.core.impl,AbstractObjectStorageEngine,22,194,2,16,7,51,2,19,1,11
atlas-richie-component-storage-core,com.richie.component.storage.support,ObjectStorageStartupProbe,0,13,0,0,0,3,0,3,0,3
atlas-richie-component-storage-core,com.richie.component.storage.util,ObjectStorageKeys,0,9,0,2,0,1,0,2,0,1
atlas-richie-component-storage-core,com.richie.component.storage.exception,StorageException,0,23,0,0,0,10,0,5,0,5
atlas-richie-component-storage-core,com.richie.component.storage.exception,StorageTypeUnsupportedException,0,61,0,0,0,6,0,3,0,3
