GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
atlas-richie-component-storage-local,com.richie.component.storage.local.exception,StorageLocalDdlException,0,9,0,0,0,4,0,2,0,2
atlas-richie-component-storage-local,com.richie.component.storage.local.core.impl,LocalStorageEngine,42,1007,14,50,9,232,14,41,0,23
atlas-richie-component-storage-local,com.richie.component.storage.local.config,CacheConfigurationChecker,15,156,0,14,5,50,0,13,0,6
