GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
atlas-richie-component-storage-oss,com.richie.component.storage.converter,OssAclTypeConverter,0,55,0,5,0,9,0,7,0,3
atlas-richie-component-storage-oss,com.richie.component.storage.converter,OssStorageTypeConverter,0,54,0,5,0,9,0,7,0,3
