GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
atlas-richie-component-storage-minio,com.richie.component.storage.core.impl,MinioStorageEngine,15,560,1,13,4,172,1,17,0,11
atlas-richie-component-storage-minio,com.richie.component.storage.config,MinioAutoConfiguration,87,60,1,3,20,15,2,4,1,3
atlas-richie-component-storage-minio,com.richie.component.storage.converter,MinioAclTypeConverter,0,24,0,7,0,10,0,9,0,3
